title;artist;album;isrc
If;"Pink Floyd";"Atom Heart Mother";GBN9Y1100054
Definition;"Black Star";"Mos Def & Talib Kweli Are Black Star";USRW50200103
"Essays on BDP-ism";"Boogie Down Productions, Scott Larock";"The Essential Boogie Down Productions / KRS-One";USJI19200001
"My Philosophy";"Boogie Down Productions";"The Essential Boogie Down Productions / KRS-One";USJI18800001
"Bo! Bo! Bo!";"Boogie Down Productions";"The Essential Boogie Down Productions / KRS-One";USJI10300494
"A Friend";KRS-One;"I Got Next";USJI19710034
"Where Do We Go From Here???";Death;"…For The Whole World To See";US58L0938706
"Float Along – Fill Your Lungs";"King Gizzard & The Lizard Wizard";"Float Along - Fill Your Lungs";AUDJ01300993
"Crumbling Castle";"King Gizzard & The Lizard Wizard";Polygondwanaland;AUTZK1700075
"Ralph's Piano Waltz";"John Abercrombie, Jan Hammer, Jack DeJohnette";Timeless;DEB337404703
"My Love Explodes - 2001 Digital Remaster";"The Dukes Of Stratosphear";"Chips From The Chocolate Fireball";GBAAA0100075
"The Angry Young Men";"Urban Verbs";"Urban Verbs";USWB10300893
"i see, so i see so";"Broadcast, The Focus Group";"Broadcast And The Focus Group Investigate Witch Cults Of The Radio Age";GBBPW0900237
"The Auspicious Arrival of Svenjamin";"Gyan Riley";Sprig;US3CR1812007
Anasickmodular;"Floating Points";Crush;GBCFB1900154
Karakul;"Floating Points";Crush;GBCFB1900156
"Hammock Therapy";Shpongle;"Codex VI";GBBMP1200627
"Time Alone With You (feat. Daniel Caesar)";"Jacob Collier, Daniel Caesar";"Time Alone With You (feat. Daniel Caesar)";GBUM71906100
"Pleasure - Crackazat Remix";"Mousse T., Peven Everett, Crackazat";Pleasure;DEP081900017
"Underground Radio - Thailand Version";Prachatai;"Underground Radio (Thailand Version)";BXDFR1800035
"Double Or Nothing";"Westseven, Kuroten, Meliha";"Orbit O";GBKQU1905445
"Ace of Aces";"The Fearless Flyers";"The Fearless Flyers";QM4DW1837696
"1/2 - Remastered 2004";"Brian Eno";"Ambient 1/Music For Airports";GBAAA0400428
"2/2 - Remastered 2004";"Brian Eno";"Ambient 1/Music For Airports";GBAAA0400429
"Feel First Life";"Jon Hopkins";Singularity;GBCEL1700695
LesAlpx;"Floating Points";LesAlpx;GBCFB1900139
"Wide Awake";"Parquet Courts";"Wide Awake!";GBCVZ1700227
10.8;"deadmau5, Mr. Bill";"mau5ville: Level 2";GBTDG1301540
"Chico's Groove";"The Chemical Brothers";"Exit Planet Dust";GBAAA9500253
"We Were Born The Mutants Again With Leafling";"of Montreal";"Hissing Fauna, Are You The Destroyer?";US3R40612412
"2/1 - Remastered 2004";"Brian Eno";"Ambient 1/Music For Airports";GBAAA0400427
"1/1 - Remastered 2004";"Brian Eno";"Ambient 1/Music For Airports";GBAAA0400426
"Can't Do Without You";Caribou;"Our Love";DED621401192
"Pedestrian at Best";"Courtney Barnett";"Sometimes I Sit and Think, and Sometimes I Just Sit";GBX721400144
"Lotus Flower";Radiohead;"The King Of Limbs";GBU4B1100007
"Feels Like We Only Go Backwards";"Tame Impala";Lonerism;AUUM71200493
"Sky Above";"Jacob Collier";"Djesse Vol. 2";GBUM71903194
Seal;"The Chemical Brothers";"We Are The Night";GBAAA0700895
"We Are The Night";"The Chemical Brothers";"We Are The Night";GBAAA0700876
"Ordinary Pleasure";"Toro y Moi";"Outer Peace";US22N1913102
"Move On Up";"Curtis Mayfield";"Move On Up (Single Edit)";USRH11509321
Central;"John Frusciante";"The Empyrean";USAHB0800735
"On Blue Mountain";Foxygen;"We Are the 21st Century Ambassadors of Peace & Magic";US38Y1322703
Butter;"Babe Rainbow";Today;AUTZK1900002
Strawberry;"Moses Gunn Collective";"Mercy Mountain";TCACT1674463
"Part III";Crumb;Jinx;TCAEC1957424
"A Doubt";"John Frusciante";"The Will To Death";USRC20400007
"Before the Beginning";"John Frusciante";"The Empyrean";USAHB0800728
Amboss;"Ash Ra Tempel";"Damaged Brains 1 (The Best Of Krautrock)";QMFME1542587
"Station 3: Body";"A.R. & Machines";"Die grüne Reise";DEAQ97102051
"A Walk";Tycho;Dive;US2J71104501
Awake;Tycho;Awake;US2J71309901
"4'33""";"The Normal";"4'33""";GBR8R1900013
T.V.O.D.;"The Normal";"Warm Leatherette";GBAJH0400899
"Warm Leatherette";"The Normal";"Warm Leatherette";GBAJH0400898
"Seven Forty Seven";"Boards of Canada";"Warp20 (Unheard)";GBBPW0900171
"Oh Serene Zoltar";Kirkis;"Worm Jelly";GB4HG1300123
"Worm Jelly";Kirkis;"Worm Jelly";GB4HG1300122
"It's All Around You";Tortoise;"It's All Around You";USTJ20411501
"Autumn Rains";"The Marcus King Band";"Carolina Confessions";USC4R1806593
"Twin Of Myself (Original)";"Black Moth Super Rainbow";"Extra Flavor (Dandelion Gum-Era Sessions)";US5EB1100009
Bees;Caribou;"The Milk of Human Kindness";GBCKB0500205
"The Lord Of Lightning";"King Gizzard & The Lizard Wizard";"Murder Of The Universe";AUTZK1700024
"It Is Not Meant To Be";"Tame Impala";InnerSpeaker;AUUM71000131
mad;"CoH, Cosey Fanni Tutti";"COH Plays Cosey";DEAS90800312
"Lazy Lightning - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77";"Grateful Dead";"Cornell 5/8/77 (Live)";USRH11700145
Coca;"Conrad Schnitzler";"Con 3";DELI51200967
"Wer sind wir denn (Vocal Gilli & Gregor)";"Conrad Schnitzler";"Con 3";DELI51200966
Hongkong;"Conrad Schnitzler";"Con 3";DELI51200964
"Komm mit nach Berlin";"Conrad Schnitzler";"Con 3";DELI51200965
Kohlen;"Conrad Schnitzler";"Con 3";DELI51200962
"Nächte in Kreuzberg";"Conrad Schnitzler";"Con 3";DELI51200963
"Miracle Cure";"The Who";Tommy;GBAKW6900122
"Pinball Wizard";"The Who";Tommy;GBAKW6900102
"Turkey Dog Coma";"Flying Lotus";"You're Dead!";GBBPW1400159
"At the Citadel";"Flat Worms";"Into the Iris";QM4WV1904806
"Scattered Palms...";"Flat Worms";"Into the Iris";QM4WV1904805
"""Animal Or Vegetable [A Wonderful Wooden Reason...]"" [Crumb Duck]";"Stereolab, Nurse With Wound";"Refried Ectoplasm [Switched On Volume 2]";GBJCJ9500018
"Stanley Kubrick";Mogwai;Ep+6;GBCGR9960012
"Jeremy's Storm";"Tame Impala";InnerSpeaker;AUUM71000138
Jell-o;"Ariel Pink";"pom pom";GBAFL1400225
"Teenage Birdsong";"Four Tet";"Teenage Birdsong";GBXNG1944401
"What's Become of the Baby - 1969 Mix; 2019 Remaster";"Grateful Dead";"Aoxomoxoa (50th Anniversary Deluxe Edition)";USRH11802839
"Prospect Hummer";"Animal Collective";"Prospect Hummer";GBDCA0500443
"I Bought My Eyes";"Ty Segall Band";Slaughterhouse;USA3D1210055
Bias;"Floating Points";Crush;GBCFB1900157
"Flash Delirium";MGMT;Congratulations;USSM11000445
"Church Of Trees";trentemøller;Obverse;DEL021970027
Sleeper;trentemøller;Obverse;DEL021970033
"Miss You";trentemøller;"The Last Resort";DEL020620046
"Pass It On";"levitation room";Headspace;QM6MZ1963628
"Sundown Syndrome";"Tame Impala";"Sundown Syndrome / Remember Me";AUUM70901602
"So Many Layers of Colour Become a Deep Purple Heart (To Steve Reich)";"Edda Magnason, Mats Bergström, Johan Liljedahl, Svante Henryson, Magnus Persson";"Steve Reich: Electric Counterpoint";SE24X1200110
"Many Moons Ago in the Future";"Neil Young, Promise of the Real";"Paradox (Original Music from the Film)";USRE11700597
"Selection Of A Place - Rio Negro Version";"Animal Collective";"Meeting Of The Waters";GBCEL1600558
"Amazonawana / Anaconda Opportunity";"Animal Collective";"Meeting Of The Waters";GBCEL1600557
"Blue Noses";"Animal Collective";"Meeting Of The Waters";GBCEL1600555
"Tell Me What's Inside Your Heart";"Ty Segall Band";Slaughterhouse;USA3D1210058
"Peacock Tail";"Boards of Canada";"The Campfire Headphase";GBBPW0500097
"Skip Divided";"Thom Yorke";"The Eraser";GBBKS0600031
"The Eraser";"Thom Yorke";"The Eraser";GBBKS0600027
TheHollowEarth;"Thom Yorke";FeelingPulledApartByHorses;GB4YG0900002
"Eyes Be Closed";"Washed Out";"Within and Without";USSUB1194501
"Man Of Oil";"Animal Collective";"Meeting Of The Waters";GBCEL1600556
Seneca;Tortoise;Standards;USTJ20308901
Mountain;Stereolab;"Refried Ectoplasm [Switched On Volume 2]";GBJCJ9500009
"I Don't Really Mind";"Tame Impala";InnerSpeaker;AUUM71000142
Excuse-O;"Fela Kuti";Excuse-O;USME30902152
"Can You Get To That";Funkadelic;"Maggot Brain";US25X0588948
"Love Forever";"Babe Rainbow";"Love Forever";TCABR1370466
"Come And Play In The Milky Night (Demo)";Stereolab;"Come And Play In The Milky Night";GB5P51900191
"Metronomic Underground";Stereolab;"Emperor Tomato Ketchup";USEE19694710
"Smoke and Mirrors";"Kikagaku Moyo";"Forest of Lost Children";QMMS41401303
"It's Got Old";"King Gizzard & The Lizard Wizard";Oddments;AUDJ01401041
"Little One";"Howard and the Nosebleeds";"Get Psychic!";QZARB1853602
"Sunlight and Rain";"Howard and the Nosebleeds";"Get Psychic!";QZARB1853606
"About Time";"Wax Dream";II;QZHN41968932
"Alpha Centauri";"We Are Impala";Visions;QM4TW1913714
Rituals;"We Are Impala";Visions;QM4TW1913713
"Tusken Raider";"School Disco";"School Disco";QZGWW1970140
