track_uri|track_name
spotify:track:1IsGA5ceSC4a5nxgAEYnQd|Only Happy When It Rains
spotify:track:0Xq7FPQaLJgIHSB605YUMy|Sweet Dreams (Are Made Of This)
spotify:track:1AfYo6cKm3yHsJHdmNoGO1|Interstate Love Song
spotify:track:5V3mdRI2yQxbSsJGDPc5lD|Chop Suey!
spotify:track:3jS7bB0oXVOwGFZn3aE5NV|You Oughta Know - 2015 Remaster
spotify:track:23MrkN7g6Q5U7GLIxNHN1B|Foxey Lady
spotify:track:6mv76kovZyVB0UHbqUsee0|Proud Mary
spotify:track:3bWGaqVeYKMlLss40mPgNn|Hello, I Love You
spotify:track:6ToM0uwxtPKo9CMpbPGYvM|Break on Through (To the Other Side)
spotify:track:6NxsCnLeLd8Ai1TrgGxzIx|Bad Moon Rising
spotify:track:5zH710lFSLtkHbMkslLDjR|Crazy On You
spotify:track:2LawezPeJhN4AWuSB0GtAU|Have You Ever Seen The Rain
spotify:track:5uvosCdMlFdTXhoazkTI5R|Light My Fire
spotify:track:2X6gdRlGOQgfaXU9ALUQFQ|The Chain
spotify:track:5MxNLUsfh7uzROypsoO5qe|Dream On
spotify:track:3PGAgwFWnFCisvjb3rLyuh|Piece Of My Heart
spotify:track:5BIMPccDwShpXq784RJlJp|Enter Sandman
spotify:track:3HfB5hBU0dmBt8T0iCmH42|Creep
spotify:track:3YRCqOhFifThpSRFJ1VWFM|November Rain
spotify:track:0F0MA0ns8oXwGw66B2BSXm|Let's Dance - 1999 Remaster
spotify:track:3YBZIN3rekqsKxbJc9FZko|Paradise City
spotify:track:6mfkHv00I6jhHIn7EWHJ2N|Just A Girl
spotify:track:61lqNlVRnWYiR9C7BDJw2l|You Give Love A Bad Name
spotify:track:7w87IxuO7BDcJ3YUqCyMTT|Pumped Up Kicks
spotify:track:2SpEHTbUuebeLkgs9QB7Ue|Jolene
spotify:track:4w3tQBXhn5345eUXDGBWZG|9 to 5
spotify:track:6gJdDnF2TzfA1WPMXuCa3x|Proud Mary
spotify:track:7ACwi8jq7LFX6ctC1R6fn1|This Is Me
spotify:track:0jdny0dhgjUwoIp5GkqEaA|Praying
spotify:track:3zUr0rwzTgo83IGZqhvoNE|Escape Me - Alex Gaudino & Jason Rooney Remix
spotify:track:1G391cbiT3v3Cywg8T7DM1|Scar Tissue
spotify:track:15ya59dZ8yGeIfZARiYDjd|Dog Days Are Over
spotify:track:0fPf9CDFzVnHpcfld5XVtO|You've Got The Love
spotify:track:4RvWPyQ5RL0ao9LPZeSouE|Everybody Wants To Rule The World
spotify:track:5NIPsWpDjJTFBoPxCUUeXp|Welcome To The Jungle
spotify:track:4aWn4NHlELpOehxsBaQeoe|Don't You (Forget About Me)
spotify:track:2sXp9Qmvc7mRaDBjBgcGGi|Every Breath You Take - Remastered 2003
spotify:track:5eU8qMd0TpaLqTGDZJaLDs|Need You Tonight
spotify:track:4ha9ajL4Kz98uldAfuos6p|With Or Without You - Remastered
spotify:track:4MhTFsyqIJnjsOweVcU8ug|Sweet Child O' Mine
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L|Take on Me
spotify:track:51H2y6YrNNXcy3dfc3qSbA|When Doves Cry
spotify:track:57JVGBtBLCfHw2muk5416J|Another One Bites The Dust - Remastered 2011
spotify:track:0HEmnAUT8PHznIAAmVXqFJ|Faith - Remastered
spotify:track:0PdM2a6oIjqepoEfcJo0RO|Pour Some Sugar On Me - Remastered 2017
spotify:track:7qQnBfwXrw2tZNFG4Uf57N|Livin' On A Prayer
spotify:track:6QyQmdvQ1ywNccYa0pwLNQ|The Tracks Of My Tears
spotify:track:4kP69y3GKHi9tXckfgp4bK|For Once In My Life
spotify:track:74EV0g12ihUoOUXMprFpZB|Losing My Religion
spotify:track:64BbK9SFKH2jk86U3dGj2P|Otherside
spotify:track:3Y8Ff1nH44jFywAtpgmleZ|1979 - Remastered 2012
spotify:track:5Xak5fmy089t0FYmh3VJiY|Black
spotify:track:1twBt7aZiy7HWPG025QGuP|Aerials
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX|Plush
spotify:track:794pcMq18sBEsmwjRq0aOI|The World I Know
spotify:track:6QewNVIDKdSl8Y3ycuHIei|Even Flow
spotify:track:2EoOZnxNgtmZaD8uUmz2nD|Black Hole Sun
spotify:track:5sFDReWLrZHLFZFjHsjUTS|Would?
spotify:track:50uGbeaQIxKiSc7jvRTjWx|(Sittin' On) the Dock of the Bay
spotify:track:0ACACkoHUwgfgY5CxVIL4N|Lovely Day
spotify:track:63xdwScd1Ai1GigAwQxE8y|Let's Stay Together
spotify:track:4qv7YSyt5UV8LvrXyE8sGn|Can You Feel It - Single Version
spotify:track:05wIrZSwuaVWhcv5FfqeH0|Walking On Sunshine
spotify:track:03UeeLEwze6VrBZhMPEymG|Don't Leave Me This Way - Single Version
spotify:track:2AKOOhml62GZNFWDN7VqzT|Killer Queen - 2011 Mix
spotify:track:7iN1s7xHE4ifF5povM6A48|Let It Be - Remastered 2009
spotify:track:1KbuhBnzMHp4eq1q6flhWd|Ain't No Mountain High Enough
spotify:track:2JoZzpdeP2G6Csfdq5aLXP|How Deep Is Your Love
spotify:track:2kyVQg00pphEufGT59M2XH|(They Long To Be) Close To You
spotify:track:3c4OULLWwgRqBfA2dJtRuY|Love Is In The Air
spotify:track:1lCRw5FEZ1gPDNPzy1K4zW|We Are The Champions - Remastered 2011
spotify:track:7u2FvRYl39hmNHklBlsjkm|My Heart Belongs to Me
spotify:track:7oOOI85fVQvVnK5ynNMdW7|Rock with You - Single Version
spotify:track:7tFiyTwD0nx5a1eklYtX2J|Bohemian Rhapsody - 2011 Mix
spotify:track:29L9RTMgpqS98Lu0VUUhhr|Got To Give It Up - Album Edit
spotify:track:4rDbp1vnvEhieiccprPMdI|Somebody To Love - 2011 Mix
spotify:track:1f4iVGDitHYMVBaoc9GXO2|Love Will Keep Us Together
spotify:track:23DZLSxCK6kM8FF2RlzKDl|You're No Good
spotify:track:4lvNaO9CiRQN5AgGvBmuKx|I Feel Love - Edit
spotify:track:2xiOdusRnZezQok1RgLNeS|"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack"
spotify:track:6IAVxNFi1W88UhDeyvOsdo|Fat Bottomed Girls - 2011 Remaster
spotify:track:1vZTgn4JXWMahR8r99ug5H|The Way We Were
spotify:track:5spAjqC772iC2KzDvEkmSr|A Song for You
spotify:track:5T8EDUDqKcs6OSOwEsfqG7|Don't Stop Me Now - 2011 Mix
spotify:track:1nFtiJxYdhtFfFtfXBv06s|Something In The Way
spotify:track:5ghIJDpPoe3CfHMGu71E6T|Smells Like Teen Spirit
spotify:track:0W8IvKB3TSNWJmJINKU0WN|And I Love Her
spotify:track:7tUtvGeKB2V5W5ms6uBlyC|Sappy
spotify:track:66w5OYw2ja8lnmaA3Ns0PU|Heart-Shaped Box
spotify:track:5gRcv46AMTrosmTOqrOV3Q|Dumb
spotify:track:0uMudNRowFXk9d08P8uH4X|Heart Shaped Box - Live & Loud
spotify:track:4UJmPSJsBsIR1U0N79BU1g|Lake Of Fire
spotify:track:7BsD3xcEhgTmc4zegwbkHj|California Dreamin'
spotify:track:4JuJ9ewGWWGy0U3URuXOSI|Have You Ever Seen The Rain?
spotify:track:40riOy7x9W7GXjyGp4pjAv|Hotel California - 2013 Remaster
spotify:track:6c20LH3R4foocWLmYyojWq|Maggie May
spotify:track:1aj4GXfmEYXfdVZohCpNKu|Stand by Me
spotify:track:4mOxpj82q6n3EO7HBZCelX|Sunny Came Home
spotify:track:7onOpypcFWFc2YjMIcJnx9|I Feel the Earth Move
spotify:track:4vDBJeeQCbhP9FaPPMsYkY|Give Me One Reason
spotify:track:0FeCO85RKW8fDRytwXof2x|Go Your Own Way
spotify:track:6VrjF67WFChXh8uYYBfeRr|Kind & Generous
spotify:track:5ihS6UUlyQAfmp48eSkxuQ|Landslide
spotify:track:2M9ro2krNb7nr7HSprkEgo|Fast Car
spotify:track:2DnJjbjNTV9Nd5NOa1KGba|You're so Vain
spotify:track:0wCrg1LhgPcGMw51qqpI6k|Constant Craving
spotify:track:3TPM942bMXrEnCPym6vL7i|I Don't Want to Wait (Artist's 20th Anniversary Edition)
spotify:track:6JaXcwVT4LaHlo7MrYqaKK|Like Smoke
spotify:track:1O92Kw6CTPxdp3jzdbUaEN|Stronger Than Me
spotify:track:1FLzTxrNNgqrAEsQvHJ9Gx|Fuck Me Pumps
spotify:track:3L60Vu9qmY6fg2QroRIxgi|Cry Baby
spotify:track:3eYCJXTViFwl5mdtcTsF4G|Summertime
spotify:track:1xKQbqQtQWrtQS47fUJBtl|Piece of My Heart
spotify:track:3Fe3L3N5pGaa0BBT4eVypZ|Like The Way I Do
spotify:track:7tOEXhPdFosbBcQrAISAfl|I Want To Come Over
spotify:track:4LmlGaGTEbTGE5VngAbpA3|Come To My Window
spotify:track:4veE1jrMbVSy9FRCiYDGkD|I'm The Only One
spotify:track:5yaCquc7koPqtgj7v0lwHX|Waiting for Tonight
spotify:track:0KDaN0HL3TcJVTbXlQCEsS|Torn
spotify:track:3adnLFXKO5rC1lhUNSeg3N|White Flag
spotify:track:0gEyKnHvgkrkBM6fbeHdwK|Linger
spotify:track:2IZZqH4K02UIYg5EohpNHF|Zombie
spotify:track:4FsYQpa38VDIUFdYqU0EYu|Looking To Love
spotify:track:69yGNG6oRGCLZey8krpCXI|Private Show
spotify:track:7FjZU7XFs7P9jHI9Z0yRhK|So Close
spotify:track:1WSGTYKLEpKfNQYYW5Oymt|I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)
spotify:track:3Fzlg5r1IjhLk2qRw667od|Dancing in the Moonlight
spotify:track:76cy1WJvNGJTj78UqeA5zr|IDGAF
spotify:track:6tvQzeCPwOytDlBYCIOY0n|Breathe
spotify:track:53SnCRcGrB2UCqNGyYZhJD|More Than Friends
spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ|Like I Do
spotify:track:7kXPcW3EVOkYjOxPJUuU76|Move (Time To Get Loose) - Joe Stone Remix
spotify:track:5eoZTdiq4C4aoEfUwAN0ha|The Good, the Bad and the Dirty
spotify:track:6rUp7v3l8yC4TKxAAR5Bmx|I Hate Everything About You
spotify:track:05Z77MHLPcBA2Wd5eDSJzl|Miss Missing You
spotify:track:2wPFy7SAFnt9Nj2TipWcqb|Block Rockin' Beats
spotify:track:1NXDq5UBby80GsRNjGXVwE|No More Sad Songs (feat. Machine Gun Kelly)
spotify:track:2H7jfVsrxzDSn4e1lADVlZ|Miami 2 Ibiza - Radio Edit
spotify:track:0hQvOfNoBr9EV2jCIF6JCQ|River - King Kavalier Remix
spotify:track:1TfqLAPs4K3s2rJMoCokcS|Sweet Dreams (Are Made of This) - Remastered
spotify:track:1NNAI51EuoRWw1ydX1zV7S|Daylight
spotify:track:4FDjkgw75Lr0VEx5vOTGCk|Harder To Breathe
spotify:track:4XNrMwGx1SqP01sqkGTDmo|One More Night
spotify:track:6YgV0EF8xJMZz0Zm6BTaT4|This Love
spotify:track:7sapKrjDij2fpDVj0GxP66|She Will Be Loved
spotify:track:4VginDwYTP2eaHJzO0QMjG|Circles
spotify:track:7HMmFQsKsljwTw8bS7lu19|Rare
spotify:track:77DaqUga97nJIYcMVAW9fS|Revival
spotify:track:2v5JTeM6hSmi5wWy7jiwrI|I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)
spotify:track:2nGFzvICaeEWjIrBrL2RAx|Put Your Records On
spotify:track:7gCeodIXjhCLDWC5H1LOmT|Your Song
spotify:track:1UFOUQ1Szs3fJWWWQDOreB|Champion
spotify:track:2Mfv5HaqnI18Q9JRv9hqnn|Still Learning
spotify:track:7kSGFe4nkkbwVux7GIpfKt|Dear Society
spotify:track:6i8ecOsx4J2Px1maiqzqoG|Everywhere
spotify:track:5fP7YHDNkIwh3F7zPPgEdB|Tiny Dancer - Remastered
spotify:track:1Jaah2tmN9Hv81A87KZ1MU|Torn
spotify:track:2IHLaN6wwYKQ3S24NsQqpA|I Love Me
spotify:track:2jyjhRf6DVbMPU5zxagN2h|Let Her Go
spotify:track:0Oe49j06Bjrxs8PltuVeaW|On The Floor - Radio Edit
spotify:track:1CkvWZme3pRgbzaxZnTl5X|Rolling in the Deep
spotify:track:0RiRZpuVRbi7oqRdSMwhQY|Sunflower - Spider-Man: Into the Spider-Verse
spotify:track:4VrWlk8IQxevMvERoX08iC|Chandelier
spotify:track:0SiywuOBRcynK0uKGWdCnn|Bad Romance
spotify:track:0AH6WMe3OlAlUb5miXt2FQ|Only Girl (In The World)
spotify:track:1Xvg4kyNwLA3ae4nKsea41|Diamonds
spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH|In My Blood
spotify:track:4h8VwCb1MTGoLKueQ1WgbD|Wake Me Up
spotify:track:7qiZfU4dY1lWllzX7mPBI3|Shape of You
spotify:track:4wCmqSrbyCgxEXROQE6vtV|Somebody That I Used To Know
spotify:track:1CiVz2WkmZRwhU3A6J2Gjz|Shake It Off
spotify:track:52izjvF7wwveRG1rDJsGWe|Love Myself
spotify:track:7qrO2oI0A9DW6wQPjSADxx|Say So (Jax Jones Midnight Snack Remix)
spotify:track:2SItJHNsf37kaAi3IXjyft|Successful (with Drake)
spotify:track:4w8niZpiMy6qz1mntFA5uM|Taki Taki (with Selena Gomez, Ozuna & Cardi B)
spotify:track:5px6upUHM3fhOP621Edp4V|Physical
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg|Don't Start Now
spotify:track:0rIAC4PXANcKmitJfoqmVm|Motivation
spotify:track:1iQDltZqI7BXnHrFy4Qo1k|Trampoline (with ZAYN)
spotify:track:44ADyYoY5liaRa3EOAl4uf|Slide Away
spotify:track:3i9UVldZOE0aD0JnyfAZZ0|Lover (Remix) [feat. Shawn Mendes]
spotify:track:7zK4iQBD2TjFZCe8O1NApg|Break Every Rule
spotify:track:2UmwDA3OGp4RF0Bypo0KAn|Everything Sounds Like A Love Song
spotify:track:6WrHKidpEVkYKX3vSQhBgL|LOVE IN THE DARK
spotify:track:1rfofaqEpACxVEHIZBJe6W|Havana (feat. Young Thug)
spotify:track:4kflIGfjdZJW4ot2ioixTB|Someone Like You
spotify:track:2Fxmhks0bxGSBdJ92vM42m|bad guy
spotify:track:1FkB5dAzBqB3wHFtMpbHfZ|Popcorn - GATTÜSO Remix
spotify:track:1RMJOxR6GRPsBHL8qeC2ux|Best Part (feat. H.E.R.)
spotify:track:1A6OTy97kk0mMdm78rHsm8|Sunflower - Spider-Man: Into the Spider-Verse
spotify:track:66kQ7wr4d2LwwSjr7HXcyr|All The Stars (with SZA)
spotify:track:5DqdesEfbRyOlSS3Tf6c29|It's You
spotify:track:75ZvA4QfFiZvzhj2xkaWAh|I Fall Apart
spotify:track:6Vc5wAMmXdKIAM7WUoEb7N|Say Something
spotify:track:4MTHIKGWNTBoubzDMkXFfa|I Can Love You
spotify:track:5jv3QxL0MFswzM1UJ2qQJM|How Many Licks? (feat. Sisqo)
spotify:track:0uYiq008XEGyl5CvbP7P5W|No, No, No
spotify:track:77jEqaW8UgLiiBNEhjtAFW|Candy
spotify:track:6FZDfxM3a3UCqtzo5pxSLZ|Without Me
spotify:track:0KoiMHhqKLoL4xM54rcWYY|Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)
spotify:track:7rIhVsWn8W82shpRiPDrXc|Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)
spotify:track:12KUFSHFgT0XCoiSlvdQi4|Break Free
spotify:track:77TT8Xvx637TpzV8kKGkUw|Titanium (feat. Sia)
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq|I Love It (feat. Charli XCX)
spotify:track:7COfe3P7KgfwDwIRB8LIDw|Mi Gente
spotify:track:1i1fxkWeaMmKEB4T7zqbzK|Don't Let Me Down
spotify:track:6PUIzlqotEmPuBfjbwYWOB|Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix
