track_uri|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|time_signature
2ybpUrPzIKWxC16gzWJTzX|0.387|0.734|5|-5.483|1|0.0302|0.872|0.864|0.0707|0.489|140.322|4
2woP1kEMiFqKl3JCONl1UQ|0.664|0.762|9|-6.158|1|0.0394|0.369|0.583|0.0868|0.662|110.011|4
70siAkCdGf9KfZjUYpuCkA|0.415|0.538|6|-9.181|0|0.0296|0.943|0.485|0.111|0.0667|134.332|4
7tdk45H4H6JdGo1nFud7z7|0.565|0.72|8|-5.731|0|0.0318|0.856|0.872|0.141|0.45|116.9|4
38pfrZwnJA4C4tb0ziZIib|0.683|0.546|7|-8.287|1|0.0398|0.728|0.834|0.117|0.558|89.943|3
2eThHoUoS7bjr2RzqeU3nJ|0.495|0.458|2|-8.929|1|0.045|0.937|0.895|0.0975|0.234|97.896|4
4ed1eMN8e8rihgbZDKvy5w|0.439|0.651|7|-7.153|1|0.0412|0.74|0.822|0.181|0.512|150.901|3
2Xiwy6E4TvwfaP6rZX8K9z|0.587|0.644|9|-7.017|0|0.0341|0.701|0.781|0.104|0.505|98.067|4
2whrLWzlEzKiBF2FuEZAVa|0.47|0.467|2|-8.915|1|0.0443|0.933|0.882|0.0979|0.254|97.811|4
5Cbv1zgVXx21PUwLs3rS4g|0.419|0.526|2|-7.449|0|0.032|0.961|0.866|0.0693|0.175|125.03|3
1SAnNoivXqSuEqKYGlFZKe|0.396|0.499|10|-8.056|1|0.0291|0.958|0.891|0.194|0.222|106.154|4
4KFAibuUZrf3G88RIvEN2z|0.412|0.733|5|-5.482|1|0.0299|0.871|0.84|0.0706|0.491|140.409|4
4kTBEjDosJcx3rxpIFi8xo|0.579|0.643|9|-7.014|0|0.034|0.697|0.746|0.104|0.513|98.048|4
0pZtqVaWStLxI36HQUUKho|0.359|0.757|9|-8.196|0|0.0485|0.482|0.579|0.914|0.468|165.363|3
6eNm4PczRHFVnZCy7g5hV6|0.448|0.719|5|-9.951|0|0.0529|0.801|0.809|0.738|0.537|120.678|4
4DOWaxTcOZJzcxsIY6WaAS|0.409|0.56|9|-11.322|1|0.0529|0.815|0.887|0.71|0.193|94.78|3
6GIjEwfBR5MP5IW8dDvpib|0.499|0.898|4|-9.196|0|0.0857|0.339|0.769|0.913|0.718|115.479|4
67sPid719chNiwnSFKx9mE|0.496|0.696|11|-9.467|0|0.0484|0.603|0.58|0.692|0.305|87.389|3
03kMONPPtDnptaghB0kmAh|0.424|0.787|2|-8.389|1|0.0775|0.818|0.758|0.734|0.737|156.695|3
0JjrfsLTRfIOGjo9jJDkvu|0.493|0.473|9|-12.058|1|0.0306|0.565|0.228|0.18|0.456|168.003|3
3jRZoFu1lS7ulfu9HAFr8e|0.387|0.499|9|-11.621|0|0.037|0.804|0.491|0.0987|0.441|157.343|3
08bPOOeJx392fizsYR1MEk|0.55|0.542|4|-12.489|1|0.0372|0.551|0.814|0.108|0.76|84.305|3
7GeNSZO0OM8Mol1mjWSGHT|0.399|0.391|9|-12.918|0|0.0334|0.892|0.875|0.095|0.376|147.785|3
52bnquu7P8sXBVvbk4m0XI|0.696|0.539|9|-13.238|0|0.055|0.259|0.796|0.146|0.845|83.994|4
